BMP280,,,,,,,
"Year,Month,Day,Hour,Minute,Second",,,,,,,
Start,"2018,2,15,14,28,34",,,,,,
End,"2018,2,15,14,29,5,",,"(Note: Total 10,000 samples, first 681 records removed, due to presence of NANs)",,,,
Samples,9319,,Average,100801.6917,,StDev,5.84782364
No doubles,5506,,Average,100801.124,,StDev,5.85046483
,,,,,,StDev Mean,0.07884465722
,,,,,,,
,,,,,,,
T (°C),P (Pa),,T (°C),P (Pa),,,
22.59,100800.61,,22.59,100800.61,100800.61,,
22.59,100800.61,,22.59,100811.3,100811.3,,
22.59,100811.3,,22.52,100800.09,100800.09,,
22.59,100811.3,,22.54,100805.77,100805.77,,
22.52,100800.09,,22.57,100805.64,100805.64,,
22.54,100805.77,,22.53,100799.67,100799.67,,
22.54,100805.77,,22.52,100795.51,100795.51,,
22.57,100805.64,,22.57,100802.98,100802.98,,
22.57,100805.64,,22.58,100804.47,100804.47,,
22.53,100799.67,,22.52,100789.41,100789.41,,
22.53,100799.67,,22.55,100802.64,100802.64,,
22.52,100795.51,,22.59,100807.86,100807.86,,
22.57,100802.98,,22.52,100787.5,100787.5,,
22.57,100802.98,,22.54,100792.41,100792.41,,
22.58,100804.47,,22.59,100805.95,100805.95,,
22.58,100804.47,,22.53,100790.9,100790.9,,
22.52,100789.41,,22.53,100796.23,100796.23,,
22.55,100802.64,,22.58,100803.7,100803.7,,
22.55,100802.64,,22.59,100805.95,100805.95,,
22.59,100807.86,,22.6,100801.37,100801.37,,
22.59,100807.86,,22.52,100798.18,100798.18,,
22.52,100787.5,,22.54,100800.42,100800.42,,
22.52,100787.5,,22.58,100804.47,100804.47,,
22.54,100792.41,,22.52,100795.51,100795.51,,
22.59,100805.95,,22.53,100796.23,100796.23,,
22.59,100805.95,,22.57,100802.98,100802.98,,
22.53,100790.9,,22.58,100806.38,100806.38,,
22.53,100790.9,,22.52,100798.18,100798.18,,
22.53,100796.23,,22.56,100803.41,100803.41,,
22.58,100803.7,,22.59,100808.63,100808.63,,
22.59,100805.95,,22.52,100795.51,100795.51,,
22.59,100805.95,,22.54,100797.76,100797.76,,
22.6,100801.37,,22.59,100805.2,100805.2,,
22.6,100801.37,,22.53,100802.34,100802.34,,
22.52,100798.18,,22.52,100797.42,100797.42,,
22.54,100800.42,,22.58,100803.7,100803.7,,
22.54,100800.42,,22.59,100805.95,100805.95,,
22.58,100804.47,,22.53,100798.91,100798.91,,
